"1,2-Dichloroethane","1,2-Dimethylbenzene :- {o-Xylene}",Active Aluminium : Dissolved,Alkalinity to pH 4.5 : Grans Plot,Alkalinity to pH 4.5 as CaCO3,Aluminium,"Aluminium, Dissolved",Ammonia un-ionised as N,Ammoniacal Nitrogen : Load,Ammoniacal Nitrogen as N,"Ammoniacal Nitrogen, Filtered as N",Anthracene,Arsenic,"Arsenic, Dissolved",BOD : 5 Day ATU,BOD : 5 Day ATU : Load,Barium,"Barium, Dissolved",Benzene,Benzo(a)Pyrene,Bicarbonate as HCO3,Boron,"Boron, Dissolved",CHLOROPHYLL,Cadmium,"Cadmium, Dissolved",Calcium,"Calcium, Dissolved","Carbon, Organic, Dissolved as C :- {DOC}",Chemical Oxygen Demand :- {COD},Chloride,Chlorine : Total Available,Chlorine : Total Available : Filtered,Chlorine Free as Cl2,Chloroform : Load :- {Trichloromethane},Chloroform :- {Trichloromethane},Chromium,Chromium : Load,"Chromium Hexavalent, Dissolved :- {Cr VI}","Chromium, Dissolved","Colour, Filtered",Conductivity at 25 C,Copper,Copper : BLM Bioavailable,Copper : Load,"Copper, Dissolved",Cyanide : Free as CN,Cypermethrin,Cypermethrin Identification,Deltamethrin,Descriptive Site Inspection : Pass/Fail 1/0,"Detergents, Anionic","Dimethylbenzene : Sum of (1,2- 1,3- 1,4-) :- {Xylene}","Dimethylbenzene : Sum of isomers (1,3- 1,4-)",Enterococci: Intestinal: Confirmed: MF,Enterococci: Intestinal: Presumptive: MF,Escherichia coli : Confirmed : MF,Flow : Daily total,"Flow, instantaneous",Fluoranthene,Fluoride,GCMS Screen : Semi-Volatile Screen: Semi Quantitative,HCH -gamma :- {Lindane},"Hardness, Total as CaCO3",Ionic Balance,Ionic Balance: Dissolved,Iron,"Iron, Dissolved",LCMS Screen : Semi Quantitative,Lead,Lead : BLM Bioavailable,"Lead, Dissolved",Lithium,"Lithium, Dissolved",MST Filtration,Magnesium,"Magnesium, Dissolved",Manganese,Manganese : BLM Bioavailable,"Manganese, Dissolved",Mercury,"Mercury, Dissolved",Nickel,Nickel : BLM Bioavailable,"Nickel, Dissolved",Nitrate as N,"Nitrate, Filtered as N",Nitrite as N,"Nitrite, Filtered as N","Nitrogen, Dissolved Inorganic : as N","Nitrogen, Kjeldahl as N","Nitrogen, Organic as N","Nitrogen, Total Oxidised as N","Nitrogen, Total Oxidised, Filtered as N","Nitrogen, Total as N",No flow /No sample,"Oils, Grease and Fats","Orthophosphate, Filtered as P","Orthophosphate, reactive as P","Oxygen, Dissolved as O2","Oxygen, Dissolved, % Saturation",PCB - 028,PCB - 052,PCB - 101,PCB - 118,PCB - 138,PCB - 153,PCB - 180,PCB : Total,Phenol,Phosphate :- {TIP},"Phosphorus, Total as P",Phytoplankton,Population Equivalent - Calculated,Potassium,"Potassium, Dissolved",Rotenone,Salinity : In Situ,Sample Depth below surface,Sampling Frequency,"Silica, reactive as SiO2","Silicate, Filtered as SiO2",Sodium,"Sodium, Dissolved","Solids, Suspended at 105 C",Strontium,"Strontium, Filtered",Sulphate as SO4,"Sulphate, Dissolved as SO4",Temperature of Water,Time of high tide,Time of sampling relative to previous high water,Toluene :- {Methylbenzene},Turbidity,Turbidity : In Situ,"Visible oil or grease, significant trace: Present/Not found (1/0)",Volume of Sample Filtered,Water Depth,Zinc,Zinc : BLM Bioavailable,Zinc : Load,"Zinc, Dissolved",cis-Permethrin,pH,pH : In Situ,trans-Permethrin
,,,,,,,,,,0.0072,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138,,0.0018,0.147,,,,0.14,,,,0.019,,9.89,99.8,,,,,,,,,,,,1,,,,,33.9,0.2,,,0.42,,,,,,,,6.4,9.44,1.17,,,3.9,,3000,7.67,,,,,,,,
,,,,,,,,,,0.012,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,,0.0019,0.132,,,,0.12,,,,0.02,,10,100.1,,,,,,,,,,,,1,,,,,34.26,0.2,,,0.37,,,,,,,,5.8,8.31,6,,,11.3,,2000,4.9,,,,,,,,
,,,,,,,,,,0.018,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238,,0.0024,0.258,,,,0.24,,,,0.02,,10.1,99.9,,,,,,,,,,,,1,,,,,32.37,0.2,,,0.65,,,,,,,,6,17.5,7.35,,,9.2,,1500,6.79,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,
,,,,,,,0.0261,,8.4,,,,,29,,,,,,,,,,,,,,,250,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,2,,,,,,1.5,,78.2,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,4.9,,,,,,,,,,,,,,7.39,,
,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,250,2,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,98.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,,3800,,,,,6.75,,
